"","lat","long","elev_raw"
"139",40.4890909090909,-3.88545454545455,707
"140",40.4963636363636,-3.88545454545455,707
"141",40.5036363636364,-3.88545454545455,712
"142",40.5109090909091,-3.88545454545455,712
"143",40.5181818181818,-3.88545454545455,712
"144",40.5254545454545,-3.88545454545455,715
"145",40.5327272727273,-3.88545454545455,715
"146",40.54,-3.88545454545455,715
"147",40.5472727272727,-3.88545454545455,724
"148",40.5545454545455,-3.88545454545455,724
"149",40.5618181818182,-3.88545454545455,762
"150",40.5690909090909,-3.88545454545455,762
"151",40.5763636363636,-3.88545454545455,762
"152",40.5836363636364,-3.88545454545455,846
"153",40.5909090909091,-3.88545454545455,846
"154",40.5981818181818,-3.88545454545455,846
"155",40.6054545454545,-3.88545454545455,948
"156",40.6127272727273,-3.88545454545455,948
"157",40.62,-3.88545454545455,948
